Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,28994.0,29600.0,28800.0,29374.0,29374.0,25000000
2020-01-02,29374.0,30100.0,29200.0,30050.0,30050.0,28000000
2020-01-03,30050.0,30800.0,29900.0,30200.0,30200.0,31000000
2020-01-04,30200.0,30900.0,30000.0,30600.0,30600.0,27000000
2020-01-05,30600.0,31200.0,30400.0,30800.0,30800.0,29000000
2020-01-06,30800.0,32000.0,30500.0,31500.0,31500.0,35000000
2020-01-07,31500.0,32200.0,31000.0,31800.0,31800.0,33000000
2020-01-08,31800.0,32500.0,31600.0,32100.0,32100.0,30000000
2020-01-09,32100.0,33000.0,31900.0,32800.0,32800.0,38000000
2020-01-10,32800.0,33500.0,32600.0,33200.0,33200.0,36000000
2020-01-11,33200.0,34000.0,33000.0,33600.0,33600.0,40000000
2020-01-12,33600.0,34200.0,33400.0,33900.0,33900.0,37000000
2020-01-13,33900.0,35000.0,33700.0,34500.0,34500.0,42000000
2020-01-14,34500.0,35200.0,34300.0,34800.0,34800.0,39000000
2020-01-15,34800.0,35800.0,34600.0,35400.0,35400.0,44000000
2020-01-16,35400.0,36000.0,35200.0,35700.0,35700.0,41000000
2020-01-17,35700.0,36500.0,35500.0,36200.0,36200.0,45000000
2020-01-18,36200.0,37000.0,36000.0,36800.0,36800.0,47000000
2020-01-19,36800.0,37500.0,36600.0,37200.0,37200.0,43000000
2020-01-20,37200.0,38000.0,37000.0,37600.0,37600.0,48000000
2020-01-21,37600.0,38500.0,37400.0,38100.0,38100.0,50000000
2020-01-22,38100.0,39000.0,37900.0,38700.0,38700.0,52000000
2020-01-23,38700.0,39500.0,38500.0,39200.0,39200.0,48000000
2020-01-24,39200.0,40000.0,39000.0,39600.0,39600.0,55000000
2020-01-25,39600.0,40500.0,39400.0,40100.0,40100.0,57000000
2020-01-26,40100.0,41000.0,39900.0,40600.0,40600.0,53000000
2020-01-27,40600.0,41500.0,40400.0,41200.0,41200.0,58000000
2020-01-28,41200.0,42000.0,41000.0,41700.0,41700.0,60000000
2020-01-29,41700.0,42500.0,41500.0,42200.0,42200.0,56000000
2020-01-30,42200.0,43000.0,42000.0,42800.0,42800.0,62000000
